year,pdf_url,source_url,domain,score,status,file_path
2024,https://www.selfstudys.com/sitepdfs/O7GlKTkbqOLlLZeEiVaA,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-q3-paper-2024/1096405,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2024_03_selfstudys.com.pdf
2024,https://www.selfstudys.com/sitepdfs/rIPiinowdUrGQXmAQHX7,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-q4-paper-2024/1096404,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2024_04_selfstudys.com.pdf
2024,https://www.selfstudys.com/sitepdfs/wHXBfX5pMb450Fj8Z8qO,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-q5-paper-2024/1096403,www.selfstudys.com,119,ok,data\neet_papers\papers\neet_2024_05_selfstudys.com.pdf
2024,https://www.selfstudys.com/sitepdfs/BnK35dlo3IAmJa4ejHwi,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-q6-paper-2024/1096402,www.selfstudys.com,119,ok,data\neet_papers\papers\neet_2024_06_selfstudys.com.pdf
2024,https://www.selfstudys.com/sitepdfs/UPlwZf8e775MoexbYSA4,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-r1-paper-2024/1096401,www.selfstudys.com,119,ok,data\neet_papers\papers\neet_2024_07_selfstudys.com.pdf
2024,https://www.selfstudys.com/sitepdfs/fzGrQi8InMWMhm9kIsVt,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-r2-paper-2024/1096400,www.selfstudys.com,119,ok,data\neet_papers\papers\neet_2024_08_selfstudys.com.pdf
2024,https://www.selfstudys.com/sitepdfs/NCc6pkRP1gC5FNiXJfjO,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-r3-paper-2024/1096399,www.selfstudys.com,119,ok,data\neet_papers\papers\neet_2024_09_selfstudys.com.pdf
2024,https://www.selfstudys.com/sitepdfs/QkdcASF2uMKb48zKPOmo,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-r4-paper-2024/1096398,www.selfstudys.com,119,ok,data\neet_papers\papers\neet_2024_10_selfstudys.com.pdf
2024,https://www.selfstudys.com/sitepdfs/hpukt3eW8OHa7goFSeAP,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-r5-paper-2024/1096396,www.selfstudys.com,119,ok,data\neet_papers\papers\neet_2024_11_selfstudys.com.pdf
2024,https://www.selfstudys.com/sitepdfs/3AOG3UdCd7qWlAozahZL,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2024/neet-code-r6-paper-2024/1096395,www.selfstudys.com,119,ok,data\neet_papers\papers\neet_2024_12_selfstudys.com.pdf
2025,https://www.selfstudys.com/sitepdfs/aZLVYCyny6wxU7G7A1NQ,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2025/neet-code-45-paper-2025/1170245,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2025_01_selfstudys.com.pdf
2025,https://www.selfstudys.com/sitepdfs/tZJhSntfGvpnvc9QEXre,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2025/neet-code-46-paper-2025/1170244,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2025_02_selfstudys.com.pdf
2025,https://www.selfstudys.com/sitepdfs/BFjCfYsbuhysSPASFEQZ,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2025/neet-code-47-paper-2025/1170243,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2025_03_selfstudys.com.pdf
2025,https://www.selfstudys.com/sitepdfs/xbvNEQsAwg0Mjy7Lwuad,https://www.selfstudys.com/books/neet-previous-year-paper/english/year-wise/2025/neet-code-48-paper-2025/1170242,www.selfstudys.com,119,exists,data\neet_papers\papers\neet_2025_04_selfstudys.com.pdf
